depth_cm,dose_percent
0.15,77.6494
0.45,77.6866
0.75,76.8156
1.05,76.7186
1.35,76.5364
1.65,75.9497
1.95,75.4486
2.25,74.6802
2.55,74.5885
2.85,73.8673
3.15,73.2169
3.45,72.525
3.75,71.8672
4.05,71.161
4.35,70.6926
4.65,69.7348
4.95,69.5383
5.25,68.8816
5.55,68.2413
5.85,67.5836
6.15,67.0908
6.45,66.1254
6.75,65.9328
7.05,65.708
7.35,64.08
7.65,63.4039
7.95,63.3764
8.25,62.4807
8.55,61.7813
8.85,61.1175
9.15,60.5225
9.45,59.9081
9.75,59.3489
10.05,58.6812
10.35,58.2168
10.65,57.359
10.95,57.1982
11.25,56.2665
11.55,56.3751
11.85,55.4636
12.15,55.1316
12.45,54.9364
12.75,100
13.05,98.8317
13.35,97.2163
13.65,95.0769
13.95,93.1983
14.25,91.6215
14.55,89.6898
14.85,88.1694
15.15,86.1128
15.45,83.8917
15.75,82.7246
16.05,80.378
16.35,78.4309
16.65,76.5965
16.95,74.5144
17.25,72.3253
17.55,38.683
17.85,37.6996
18.15,37.4061
18.45,36.5295
18.75,35.8447
19.05,35.2356
19.35,34.958
19.65,34.4119
19.95,33.8172
20.25,33.1386
20.55,32.6173
20.85,32.5839
21.15,32.0561
21.45,31.3569
21.75,31.1134
22.05,30.8276
22.35,30.4481
22.65,30.0653
22.95,29.2681
23.25,29.0815
23.55,28.5256
23.85,28.3211
24.15,27.8941
24.45,27.7075
24.75,27.2707
25.05,26.8249
25.35,26.5994
25.65,26.0038
25.95,25.7864
26.25,25.5821
26.55,25.0228
26.85,24.7755
27.15,24.609
27.45,24.1773
27.75,23.8414
28.05,23.5822
28.35,23.3597
28.65,22.7012
28.95,22.9202
29.25,22.1902
29.55,21.9486
29.85,21.661
