depth_cm,dose_percent
0.15,100
0.45,98.4745
0.75,96.9415
1.05,95.7416
1.35,93.8827
1.65,92.2967
1.95,91.2059
2.25,89.5907
2.55,88.574
2.85,86.85
3.15,85.299
3.45,84.3359
3.75,83.1469
4.05,81.7894
4.35,80.2559
4.65,79.3072
4.95,77.7045
5.25,77.0102
5.55,76.2123
5.85,74.6953
6.15,73.4374
6.45,71.9785
6.75,71.4358
7.05,69.9341
7.35,68.8254
7.65,68.1647
7.95,66.7564
8.25,65.7309
8.55,64.6045
8.85,63.9751
9.15,62.6249
9.45,61.702
9.75,61.1218
10.05,60.3029
10.35,59.6667
10.65,58.7073
10.95,57.82
11.25,56.4525
11.55,55.5642
11.85,54.7648
12.15,54.0431
12.45,53.6092
12.75,52.3666
13.05,52.0045
13.35,51.4208
13.65,50.4141
13.95,49.4197
14.25,48.983
14.55,48.2404
14.85,47.4743
15.15,46.8945
15.45,46.2521
15.75,45.3328
16.05,44.5419
16.35,44.097
16.65,43.3742
16.95,42.9501
17.25,42.1096
17.55,41.2853
17.85,41.0765
18.15,40.264
18.45,40.0714
18.75,39.5885
19.05,38.5972
19.35,38.1021
19.65,37.4282
19.95,36.9636
20.25,36.5352
20.55,36.1081
20.85,35.4697
21.15,34.8673
21.45,34.3766
21.75,33.9921
22.05,33.4911
22.35,33.048
22.65,32.7756
22.95,32.1519
23.25,31.5289
23.55,31.1578
23.85,30.6467
24.15,30.4189
24.45,29.9343
24.75,29.301
25.05,29.0462
25.35,28.3028
25.65,28.1816
25.95,27.9002
26.25,27.481
26.55,27.1725
26.85,26.6415
27.15,26.3625
27.45,25.9852
27.75,25.3879
28.05,25.2234
28.35,24.9139
28.65,24.3926
28.95,24.1147
29.25,23.7688
29.55,23.6378
29.85,23.0675
