depth_cm,dose_percent
0.15,99.9891
0.45,100
0.75,99.0291
1.05,99.2112
1.35,98.3233
1.65,98.2294
1.95,96.9606
2.25,95.9849
2.55,95.9207
2.85,95.4549
3.15,94.0034
3.45,93.5519
3.75,92.4799
4.05,92.0566
4.35,91.3944
4.65,90.4621
4.95,89.9885
5.25,88.9
5.55,87.8208
5.85,87.3044
6.15,86.7542
6.45,85.7066
6.75,84.7679
7.05,83.8848
7.35,82.8951
7.65,82.3643
7.95,81.2526
8.25,80.2049
8.55,79.2358
8.85,78.4395
9.15,77.7443
9.45,77.1223
9.75,76.2365
10.05,75.4389
10.35,74.1177
10.65,73.7875
10.95,72.6571
11.25,71.4481
11.55,70.7332
11.85,69.7261
12.15,69.4226
12.45,68.9142
12.75,67.6126
13.05,66.8789
13.35,65.9806
13.65,65.4028
13.95,64.1954
14.25,63.4752
14.55,63.3399
14.85,62.0675
15.15,61.4795
15.45,61.028
15.75,59.946
16.05,59.0469
16.35,58.4679
16.65,57.8966
16.95,57.1877
17.25,56.5079
17.55,55.479
17.85,54.7665
18.15,54.5573
18.45,53.3709
18.75,52.9795
19.05,52.3456
19.35,51.3885
19.65,51.0792
19.95,50.2821
20.25,49.9678
20.55,49.1633
20.85,48.6545
21.15,47.5223
21.45,47.4238
21.75,46.8666
22.05,45.9217
22.35,45.4905
22.65,44.8695
22.95,44.1926
23.25,43.6236
23.55,43.147
23.85,42.386
24.15,42.3467
24.45,41.541
24.75,41.2094
25.05,40.5658
25.35,40.2336
25.65,39.3637
25.95,38.6514
26.25,38.1478
26.55,37.736
26.85,37.1612
27.15,36.806
27.45,36.6076
27.75,36.0305
28.05,35.6898
28.35,34.9319
28.65,34.2747
28.95,34.0538
29.25,33.662
29.55,33.1166
29.85,32.6513
