 ,dose_percent
-14.85,0.550857
-14.55,0.573301
-14.25,0.599674
-13.95,0.813553
-13.65,0.791264
-13.35,0.754336
-13.05,0.990134
-12.75,0.993379
-12.45,1.13403
-12.15,1.00805
-11.85,1.13601
-11.55,1.33797
-11.25,1.37331
-10.95,1.28041
-10.65,1.35679
-10.35,1.55053
-10.05,1.7837
-9.75,2.0668
-9.45,1.95809
-9.15,2.54625
-8.85,2.45903
-8.55,2.78454
-8.25,2.93868
-7.95,3.04089
-7.65,3.63316
-7.35,3.74253
-7.05,4.75447
-6.75,4.96507
-6.45,5.39719
-6.15,6.59534
-5.85,6.96947
-5.55,8.66139
-5.25,10.7558
-4.95,66.0337
-4.65,90.7428
-4.35,88.8662
-4.05,90.6539
-3.75,96.5163
-3.45,93.5826
-3.15,91.6186
-2.85,97.1325
-2.55,93.1947
-2.25,92.9516
-1.95,99.5157
-1.65,96.1086
-1.35,94.0358
-1.05,97.2269
-0.75,97.2509
-0.45,95.1189
-0.15,96.2167
0.15,93.933
0.45,95.5598
0.75,96.249
1.05,96.9021
1.35,98.0356
1.65,100
1.95,95.5326
2.25,97.6802
2.55,96.256
2.85,96.482
3.15,94.644
3.45,93.8528
3.75,90.5336
4.05,89.8961
4.35,91.0241
4.65,89.606
4.95,65.4173
5.25,9.93795
5.55,8.51838
5.85,7.63638
6.15,5.98593
6.45,5.7412
6.75,4.72843
7.05,4.48095
7.35,4.04309
7.65,3.9434
7.95,3.5781
8.25,2.64616
8.55,2.59203
8.85,2.47073
9.15,2.32902
9.45,2.06361
9.75,1.95641
10.05,1.88435
10.35,1.56708
10.65,1.43896
10.95,1.26028
11.25,1.28796
11.55,1.22952
11.85,1.08886
12.15,0.906752
12.45,1.0758
12.75,0.881189
13.05,0.812518
13.35,0.77678
13.65,0.680054
13.95,0.772807
14.25,0.594013
14.55,0.643872
14.85,0.604499
