 ,dose_percent
-14.85,0
-14.55,0
-14.25,0
-13.95,0
-13.65,0
-13.35,0
-13.05,0
-12.75,0
-12.45,0
-12.15,0
-11.85,0
-11.55,0
-11.25,0
-10.95,0
-10.65,0
-10.35,0
-10.05,0
-9.75,0
-9.45,0
-9.15,0
-8.85,0
-8.55,0
-8.25,0
-7.95,0
-7.65,0
-7.35,0
-7.05,0
-6.75,0
-6.45,0
-6.15,0
-5.85,0
-5.55,0
-5.25,0
-4.95,66.684
-4.65,94.2643
-4.35,96.5927
-4.05,95.1392
-3.75,94.8278
-3.45,95.1367
-3.15,93.9829
-2.85,97.5616
-2.55,95.5251
-2.25,97.0802
-1.95,96.4701
-1.65,96.3661
-1.35,97.9362
-1.05,97.19
-0.75,97.3021
-0.45,94.8719
-0.15,95.722
0.15,94.0565
0.45,94.2183
0.75,93.078
1.05,95.7886
1.35,96.5425
1.65,97.7879
1.95,93.6496
2.25,96.0498
2.55,100
2.85,93.1943
3.15,94.0456
3.45,97.3793
3.75,95.5395
4.05,96.2942
4.35,92.9687
4.65,94.2386
4.95,64.6799
5.25,0
5.55,0
5.85,0
6.15,0
6.45,0
6.75,0
7.05,0
7.35,0
7.65,0
7.95,0
8.25,0
8.55,0
8.85,0
9.15,0
9.45,0
9.75,0
10.05,0
10.35,0
10.65,0
10.95,0
11.25,0
11.55,0
11.85,0
12.15,0
12.45,0
12.75,0
13.05,0
13.35,0
13.65,0
13.95,0
14.25,0
14.55,0
14.85,0
