 ,dose_percent
-14.85,0.541604
-14.55,0.640549
-14.25,0.602873
-13.95,0.714996
-13.65,0.746238
-13.35,0.767175
-13.05,0.86341
-12.75,0.834022
-12.45,0.968285
-12.15,0.863119
-11.85,1.00204
-11.55,1.14158
-11.25,1.26645
-10.95,1.38414
-10.65,1.27119
-10.35,1.55838
-10.05,1.81376
-9.75,1.92707
-9.45,1.89027
-9.15,2.08879
-8.85,2.33814
-8.55,2.57569
-8.25,2.96317
-7.95,2.70292
-7.65,2.98448
-7.35,3.84102
-7.05,4.20789
-6.75,4.66957
-6.45,5.5815
-6.15,6.07324
-5.85,7.01474
-5.55,7.94536
-5.25,9.93452
-4.95,64.4898
-4.65,92.9102
-4.35,91.6649
-4.05,91.3803
-3.75,100
-3.45,96.553
-3.15,94.2002
-2.85,93.0033
-2.55,97.2351
-2.25,97.2409
-1.95,96.6005
-1.65,98.7654
-1.35,99.5324
-1.05,93.9997
-0.75,94.4677
-0.45,95.4953
-0.15,98.738
0.15,97.1038
0.45,95.4151
0.75,97.7698
1.05,99.659
1.35,97.2797
1.65,96.8584
1.95,94.6262
2.25,97.6901
2.55,97.1709
2.85,97.8442
3.15,95.2351
3.45,94.4869
3.75,88.3932
4.05,91.5506
4.35,91.5574
4.65,89.9151
4.95,62.9657
5.25,9.75219
5.55,7.49424
5.85,6.15525
6.15,6.33007
6.45,5.71242
6.75,4.64372
7.05,4.45857
7.35,3.87373
7.65,3.49452
7.95,2.96778
8.25,3.23246
8.55,2.34469
8.85,2.4012
9.15,1.88481
9.45,1.73497
9.75,2.04216
10.05,1.64931
10.35,1.49822
10.65,1.3686
10.95,1.17442
11.25,1.23622
11.55,1.08777
11.85,0.981249
12.15,1.10524
12.45,0.909089
12.75,0.795934
13.05,0.800251
13.35,0.881262
13.65,0.610807
13.95,0.622852
14.25,0.657775
14.55,0.523408
14.85,0.479915
