depth_cm,dose_percent
0.15,77.7597
0.45,77.3749
0.75,77.0268
1.05,76.8413
1.35,76.5542
1.65,75.9842
1.95,75.2576
2.25,75.0673
2.55,74.6431
2.85,73.7141
3.15,73.1898
3.45,72.5574
3.75,71.8386
4.05,71.2438
4.35,70.4167
4.65,69.8098
4.95,69.9503
5.25,68.8283
5.55,68.0725
5.85,67.6689
6.15,66.8982
6.45,66.2475
6.75,65.6749
7.05,65.3826
7.35,64.1128
7.65,63.2593
7.95,63.001
8.25,62.4904
8.55,61.3614
8.85,61.0187
9.15,60.4709
9.45,59.7741
9.75,59.2305
10.05,58.587
10.35,58.1002
10.65,57.138
10.95,57.0831
11.25,55.9708
11.55,55.8882
11.85,55.3125
12.15,54.898
12.45,54.8546
12.75,100
13.05,98.4312
13.35,96.5864
13.65,94.9012
13.95,93.0053
14.25,91.4
14.55,89.7046
14.85,88.1091
15.15,86.2487
15.45,84.0714
15.75,82.2381
16.05,80.1882
16.35,78.1608
16.65,75.9675
16.95,74.7778
17.25,72.3594
17.55,38.5622
17.85,37.4156
18.15,37.3567
18.45,36.5275
18.75,35.7012
19.05,35.1869
19.35,34.6589
19.65,34.3852
19.95,33.9574
20.25,33.203
20.55,32.747
20.85,32.3163
21.15,31.8594
21.45,31.399
21.75,31.0074
22.05,30.8069
22.35,30.4199
22.65,29.8565
22.95,29.2696
23.25,29.0175
23.55,28.5706
23.85,28.2762
24.15,27.7604
24.45,27.6628
24.75,27.242
25.05,26.7994
25.35,26.677
25.65,25.8782
25.95,25.7539
26.25,25.7347
26.55,24.9483
26.85,24.8559
27.15,24.5043
27.45,24.1534
27.75,23.839
28.05,23.5698
28.35,23.335
28.65,22.8599
28.95,22.7619
29.25,22.1121
29.55,21.9695
29.85,21.3701
