depth_cm,dose_percent
0.15,100
0.45,98.1752
0.75,96.6768
1.05,95.858
1.35,93.6067
1.65,92.1548
1.95,91.1674
2.25,89.4459
2.55,88.4277
2.85,86.9056
3.15,85.5008
3.45,84.2419
3.75,83.2995
4.05,81.6972
4.35,80.694
4.65,78.8899
4.95,77.9077
5.25,76.4928
5.55,76.0375
5.85,74.3752
6.15,73.3359
6.45,72.1231
6.75,71.0825
7.05,69.81
7.35,68.4998
7.65,68.136
7.95,66.7043
8.25,65.8733
8.55,64.5073
8.85,63.9896
9.15,62.9972
9.45,61.6068
9.75,61.3448
10.05,60.2798
10.35,59.1717
10.65,58.4849
10.95,57.1789
11.25,56.324
11.55,55.5851
11.85,55.0361
12.15,53.9224
12.45,53.4137
12.75,52.3214
13.05,51.9757
13.35,51.304
13.65,50.1384
13.95,49.3678
14.25,48.7257
14.55,48.1497
14.85,47.0971
15.15,46.929
15.45,46.0666
15.75,45.283
16.05,44.6473
16.35,44.3857
16.65,43.3247
16.95,42.8373
17.25,42.0963
17.55,41.2183
17.85,41.0419
18.15,40.4691
18.45,39.8547
18.75,39.3483
19.05,38.7644
19.35,38.336
19.65,37.3641
19.95,36.9905
20.25,36.4745
20.55,36.1221
20.85,35.6062
21.15,34.975
21.45,34.2459
21.75,34.0781
22.05,33.4625
22.35,33.0806
22.65,32.7165
22.95,32.0482
23.25,31.6296
23.55,31.213
23.85,30.4562
24.15,30.2381
24.45,29.7445
24.75,29.4746
25.05,29.0781
25.35,28.4625
25.65,28.0714
25.95,27.8312
26.25,27.4461
26.55,27.2446
26.85,26.7135
27.15,26.4577
27.45,25.9334
27.75,25.3787
28.05,25.3571
28.35,24.8699
28.65,24.1418
28.95,24.2336
29.25,23.8141
29.55,23.6108
29.85,23.3009
