depth_cm,dose_percent
0.15,100
0.45,99.2327
0.75,99.1206
1.05,98.7542
1.35,98.1672
1.65,98.0393
1.95,96.5915
2.25,96.2889
2.55,95.4354
2.85,94.6629
3.15,94.0617
3.45,93.051
3.75,92.4496
4.05,91.8508
4.35,90.6495
4.65,89.724
4.95,89.736
5.25,88.554
5.55,87.5175
5.85,87.0298
6.15,86.2601
6.45,85.8743
6.75,84.0965
7.05,83.6088
7.35,82.9092
7.65,81.5611
7.95,80.4002
8.25,79.791
8.55,79.0931
8.85,78.5361
9.15,77.6373
9.45,76.6049
9.75,75.6914
10.05,75.2179
10.35,73.9747
10.65,73.205
10.95,72.4454
11.25,71.279
11.55,70.3803
11.85,69.9408
12.15,68.8399
12.45,68.2571
12.75,67.4057
13.05,66.7343
13.35,65.5803
13.65,65.2799
13.95,64.3533
14.25,63.4662
14.55,62.8455
14.85,62.0716
15.15,61.4226
15.45,60.4686
15.75,59.3867
16.05,58.9207
16.35,57.9982
16.65,57.3846
16.95,56.394
17.25,56.4424
17.55,55.3619
17.85,54.3325
18.15,54.3042
18.45,53.3867
18.75,52.8931
19.05,52.0831
19.35,51.468
19.65,50.9942
19.95,50.0291
20.25,49.4049
20.55,48.8461
20.85,48.2374
21.15,47.5847
21.45,46.9869
21.75,46.3753
22.05,45.8466
22.35,45.4036
22.65,44.6632
22.95,43.9243
23.25,43.5343
23.55,42.9321
23.85,42.2318
24.15,41.9976
24.45,41.4612
24.75,40.9042
25.05,40.425
25.35,39.7519
25.65,39.1206
25.95,38.7681
26.25,37.8887
26.55,37.8211
26.85,37.2372
27.15,36.7148
27.45,36.1121
27.75,35.747
28.05,35.1496
28.35,34.8036
28.65,34.1908
28.95,33.5987
29.25,33.3519
29.55,33.0702
29.85,32.3473
