 ,dose_percent
-14.85,0.54738
-14.55,0.696958
-14.25,0.603207
-13.95,0.734082
-13.65,0.805613
-13.35,0.842375
-13.05,0.888057
-12.75,0.953031
-12.45,1.18711
-12.15,0.893384
-11.85,1.13308
-11.55,1.40016
-11.25,1.24333
-10.95,1.45554
-10.65,1.40751
-10.35,1.59091
-10.05,1.57909
-9.75,1.87407
-9.45,1.91688
-9.15,2.67132
-8.85,2.17046
-8.55,2.60767
-8.25,2.58616
-7.95,3.32538
-7.65,3.76786
-7.35,3.74651
-7.05,3.90257
-6.75,4.67943
-6.45,5.01971
-6.15,5.97098
-5.85,7.62359
-5.55,8.29793
-5.25,10.0926
-4.95,60.0176
-4.65,85.6124
-4.35,87.2814
-4.05,88.7243
-3.75,92.8742
-3.45,87.1063
-3.15,90.0107
-2.85,93.0303
-2.55,89.1531
-2.25,91.7919
-1.95,100
-1.65,94.0765
-1.35,91.9063
-1.05,94.6274
-0.75,94.753
-0.45,94.2051
-0.15,93.8246
0.15,92.7345
0.45,97.3902
0.75,97.2191
1.05,95.599
1.35,94.3428
1.65,95.2198
1.95,96.5524
2.25,94.5381
2.55,93.3716
2.85,96.0667
3.15,92.1693
3.45,93.2303
3.75,88.4851
4.05,87.3991
4.35,91.3
4.65,86.0001
4.95,64.676
5.25,9.60723
5.55,7.62881
5.85,7.30773
6.15,5.49848
6.45,5.52965
6.75,4.52126
7.05,4.51079
7.35,4.28061
7.65,3.49922
7.95,3.03515
8.25,2.92712
8.55,2.70215
8.85,2.41597
9.15,2.07037
9.45,1.80107
9.75,1.88082
10.05,1.72543
10.35,1.58125
10.65,1.51359
10.95,1.21709
11.25,1.23976
11.55,1.26504
11.85,1.1105
12.15,1.15934
12.45,0.94727
12.75,0.926116
13.05,0.872763
13.35,0.642165
13.65,0.624726
13.95,0.693997
14.25,0.557899
14.55,0.539697
14.85,0.485998
