 ,dose_percent
-14.85,0
-14.55,0
-14.25,0
-13.95,0
-13.65,0
-13.35,0
-13.05,0
-12.75,0
-12.45,0
-12.15,0
-11.85,0
-11.55,0
-11.25,0
-10.95,0
-10.65,0
-10.35,0
-10.05,0
-9.75,0
-9.45,0
-9.15,0
-8.85,0
-8.55,0
-8.25,0
-7.95,0
-7.65,0
-7.35,0
-7.05,0
-6.75,0
-6.45,0
-6.15,0
-5.85,0
-5.55,0
-5.25,0
-4.95,66.6719
-4.65,96.8239
-4.35,92.574
-4.05,92.9685
-3.75,93.729
-3.45,96.8545
-3.15,92.5885
-2.85,95.9513
-2.55,98.0594
-2.25,93.5826
-1.95,94.7263
-1.65,91.5543
-1.35,96.5309
-1.05,94.567
-0.75,93.9429
-0.45,96.6044
-0.15,96.3117
0.15,92.7453
0.45,94.5514
0.75,94.9193
1.05,91.801
1.35,89.8178
1.65,95.5859
1.95,92.9145
2.25,93.7555
2.55,96.9259
2.85,94.4193
3.15,93.2017
3.45,93.9112
3.75,95.3972
4.05,100
4.35,92.3404
4.65,92.7389
4.95,68.2419
5.25,0
5.55,0
5.85,0
6.15,0
6.45,0
6.75,0
7.05,0
7.35,0
7.65,0
7.95,0
8.25,0
8.55,0
8.85,0
9.15,0
9.45,0
9.75,0
10.05,0
10.35,0
10.65,0
10.95,0
11.25,0
11.55,0
11.85,0
12.15,0
12.45,0
12.75,0
13.05,0
13.35,0
13.65,0
13.95,0
14.25,0
14.55,0
14.85,0
