 ,dose_percent
-14.85,0.605616
-14.55,0.612627
-14.25,0.551999
-13.95,0.614376
-13.65,0.65036
-13.35,0.70108
-13.05,0.835979
-12.75,0.816143
-12.45,0.919526
-12.15,0.90055
-11.85,1.13948
-11.55,1.1659
-11.25,1.32549
-10.95,1.60286
-10.65,1.3581
-10.35,1.55586
-10.05,1.8301
-9.75,2.02051
-9.45,1.68931
-9.15,2.10433
-8.85,2.24894
-8.55,2.12997
-8.25,3.03553
-7.95,2.97905
-7.65,3.30436
-7.35,3.63812
-7.05,4.48378
-6.75,4.79452
-6.45,5.60347
-6.15,5.90312
-5.85,7.76648
-5.55,8.23409
-5.25,9.57869
-4.95,64.0522
-4.65,91.5653
-4.35,94.1595
-4.05,93.3372
-3.75,98.2272
-3.45,94.8891
-3.15,93.5819
-2.85,90.3132
-2.55,94.459
-2.25,95.253
-1.95,95.5114
-1.65,96.676
-1.35,97.4543
-1.05,96.5889
-0.75,96.0906
-0.45,100
-0.15,99.3904
0.15,97.8347
0.45,94.2237
0.75,98.2084
1.05,92.1981
1.35,98.1575
1.65,98.4342
1.95,97.6526
2.25,98.6297
2.55,96.3616
2.85,98.323
3.15,95.0359
3.45,99.0684
3.75,92.8291
4.05,95.9
4.35,93.9358
4.65,90.1935
4.95,62.1014
5.25,9.29425
5.55,7.0767
5.85,6.25126
6.15,5.69637
6.45,5.3604
6.75,4.0937
7.05,4.80532
7.35,3.96094
7.65,3.55963
7.95,3.02785
8.25,2.8311
8.55,2.64335
8.85,2.0751
9.15,2.02882
9.45,1.7731
9.75,2.20259
10.05,1.7504
10.35,1.38064
10.65,1.49919
10.95,1.42152
11.25,1.21795
11.55,1.08504
11.85,1.08799
12.15,1.11074
12.45,0.926557
12.75,0.758206
13.05,0.856397
13.35,0.839626
13.65,0.582593
13.95,0.650689
14.25,0.64184
14.55,0.469896
14.85,0.420151
