depth_cm,dose_percent
0.15,100
0.45,98.5555
0.75,96.5185
1.05,95.544
1.35,94.2477
1.65,92.3908
1.95,90.909
2.25,89.6022
2.55,88.1337
2.85,86.6397
3.15,85.5049
3.45,83.9752
3.75,82.7491
4.05,81.6388
4.35,80.123
4.65,79.3825
4.95,78.0959
5.25,76.8644
5.55,75.702
5.85,74.2479
6.15,73.3744
6.45,72.0638
6.75,70.8949
7.05,69.6714
7.35,68.7824
7.65,67.9639
7.95,66.6879
8.25,66.2826
8.55,64.9003
8.85,63.6264
9.15,62.9077
9.45,62.1922
9.75,60.8721
10.05,60.4362
10.35,58.9401
10.65,58.189
10.95,57.4926
11.25,56.7415
11.55,55.9984
11.85,54.8791
12.15,54.3794
12.45,53.3209
12.75,52.326
13.05,51.5547
13.35,50.6403
13.65,50.7044
13.95,49.4175
14.25,48.6899
14.55,48.2173
14.85,47.2964
15.15,46.9429
15.45,46.0341
15.75,45.1664
16.05,45.1777
16.35,44.2759
16.65,43.3314
16.95,43.0055
17.25,42.3374
17.55,41.4464
17.85,40.9406
18.15,40.2377
18.45,39.7543
18.75,39.4119
19.05,38.6288
19.35,37.9242
19.65,37.4427
19.95,37.0479
20.25,36.6792
20.55,35.7539
20.85,35.3898
21.15,35.004
21.45,34.6681
21.75,33.8402
22.05,33.4967
22.35,33.0121
22.65,32.3339
22.95,31.9528
23.25,31.764
23.55,30.9833
23.85,30.7926
24.15,30.3884
24.45,29.7182
24.75,29.5494
25.05,28.7825
25.35,28.639
25.65,28.1482
25.95,27.7829
26.25,27.3975
26.55,27.1102
26.85,26.509
27.15,26.2298
27.45,26.1449
27.75,25.5632
28.05,25.3436
28.35,24.9154
28.65,24.3675
28.95,24.3504
29.25,23.8451
29.55,23.7604
29.85,23.3018
