depth_cm,dose_percent
0.15,99.6491
0.45,100
0.75,99.0998
1.05,98.3762
1.35,98.0682
1.65,97.7037
1.95,96.5223
2.25,95.5733
2.55,95.4526
2.85,94.9368
3.15,93.8974
3.45,93.0513
3.75,91.9625
4.05,91.4831
4.35,90.8557
4.65,90.4129
4.95,89.6301
5.25,88.4785
5.55,87.2328
5.85,86.5559
6.15,86.1806
6.45,85.0131
6.75,84.2266
7.05,83.6789
7.35,82.0093
7.65,81.3924
7.95,80.5149
8.25,80.2018
8.55,79.1486
8.85,77.8963
9.15,77.5876
9.45,76.5731
9.75,75.5805
10.05,75.0756
10.35,73.7419
10.65,73.3649
10.95,72.3196
11.25,71.5735
11.55,70.5385
11.85,69.8898
12.15,69.0065
12.45,68.1804
12.75,67.2977
13.05,66.5404
13.35,65.6097
13.65,65.423
13.95,64.5453
14.25,63.4414
14.55,62.6398
14.85,61.7241
15.15,61.0513
15.45,60.7031
15.75,59.7214
16.05,58.708
16.35,57.8252
16.65,57.8036
16.95,56.5432
17.25,55.987
17.55,55.2341
17.85,54.5466
18.15,54.0818
18.45,53.8055
18.75,52.6425
19.05,52.0022
19.35,51.4849
19.65,50.7348
19.95,50.262
20.25,49.6748
20.55,48.9359
20.85,48.0071
21.15,47.4331
21.45,47.1646
21.75,46.2451
22.05,45.6366
22.35,45.4569
22.65,44.6604
22.95,43.7256
23.25,43.5634
23.55,42.7792
23.85,42.3109
24.15,41.8012
24.45,41.2238
24.75,41.0077
25.05,40.2118
25.35,39.529
25.65,39.2353
25.95,38.9505
26.25,37.8689
26.55,37.7045
26.85,37.1411
27.15,36.8223
27.45,36.4117
27.75,35.5528
28.05,35.1497
28.35,34.9294
28.65,34.3397
28.95,33.7946
29.25,33.1754
29.55,32.6384
29.85,32.7139
