 ,dose_percent
-14.85,0.507103
-14.55,0.648905
-14.25,0.626999
-13.95,0.685296
-13.65,0.73588
-13.35,0.773088
-13.05,1.00541
-12.75,0.935568
-12.45,0.982624
-12.15,1.04285
-11.85,1.07859
-11.55,1.11831
-11.25,1.24036
-10.95,1.4033
-10.65,1.56204
-10.35,1.56968
-10.05,1.4523
-9.75,1.85821
-9.45,2.18557
-9.15,2.05377
-8.85,2.23552
-8.55,2.24964
-8.25,2.74367
-7.95,2.87622
-7.65,3.5672
-7.35,3.89421
-7.05,4.29642
-6.75,4.33571
-6.45,5.62519
-6.15,5.7297
-5.85,6.79339
-5.55,8.01953
-5.25,8.84493
-4.95,62.5701
-4.65,88.6498
-4.35,89.8927
-4.05,94.2361
-3.75,94.1047
-3.45,94.2324
-3.15,91.7149
-2.85,92.7339
-2.55,94.7118
-2.25,92.9976
-1.95,95.7614
-1.65,93.9772
-1.35,98.5659
-1.05,96.4935
-0.75,96.6429
-0.45,93.8184
-0.15,92.3498
0.15,95.1603
0.45,97.3821
0.75,98.913
1.05,95.8467
1.35,97.035
1.65,98.2763
1.95,97.5206
2.25,99.1547
2.55,94.8239
2.85,95.2204
3.15,100
3.45,92.744
3.75,91.3716
4.05,92.6383
4.35,90.8088
4.65,89.3206
4.95,64.875
5.25,9.70159
5.55,8.15837
5.85,6.97848
6.15,6.27573
6.45,4.97401
6.75,5.15464
7.05,4.25598
7.35,4.00397
7.65,4.05216
7.95,3.3693
8.25,2.72628
8.55,2.95895
8.85,2.22997
9.15,2.41734
9.45,2.22258
9.75,2.1757
10.05,1.7679
10.35,1.58708
10.65,1.5315
10.95,1.47061
11.25,1.22644
11.55,1.22167
11.85,1.19335
12.15,1.10799
12.45,1.02247
12.75,0.943345
13.05,0.854036
13.35,0.77418
13.65,0.743712
13.95,0.7218
14.25,0.547524
14.55,0.548768
14.85,0.635549
