depth_cm,dose_percent
0.15,77.6417
0.45,77.9173
0.75,77.2208
1.05,76.6611
1.35,76.4219
1.65,76.1389
1.95,75.2265
2.25,74.4896
2.55,74.393
2.85,74.0011
3.15,73.1954
3.45,72.5456
3.75,71.7001
4.05,71.3276
4.35,70.8469
4.65,70.51
4.95,69.9068
5.25,69.0133
5.55,68.0472
5.85,67.5371
6.15,67.2517
6.45,66.3518
6.75,65.7526
7.05,65.3431
7.35,64.0478
7.65,63.5956
7.95,62.9202
8.25,62.7059
8.55,61.9064
8.85,60.9611
9.15,60.7404
9.45,59.9885
9.75,59.2611
10.05,58.914
10.35,57.9378
10.65,57.7133
10.95,56.9698
11.25,56.5067
11.55,55.8343
11.85,55.5159
12.15,55.0695
12.45,54.8088
12.75,100
13.05,98.7142
13.35,97.0719
13.65,95.9801
13.95,93.8066
14.25,91.3971
14.55,89.8123
14.85,87.8377
15.15,85.5721
15.45,84.1365
15.75,82.4718
16.05,80.2134
16.35,78.2649
16.65,76.6768
16.95,74.1843
17.25,72.2412
17.55,38.5253
17.85,37.6469
18.15,37.0613
18.45,36.7613
18.75,35.7
19.05,35.1904
19.35,34.7553
19.65,34.3183
19.95,33.7796
20.25,33.439
20.55,32.8596
20.85,32.3114
21.15,31.8454
21.45,31.5884
21.75,30.9415
22.05,30.5337
22.35,30.3575
22.65,29.8005
22.95,29.2037
23.25,29.0101
23.55,28.5851
23.85,28.4207
24.15,27.8845
24.45,27.5312
24.75,27.3582
25.05,26.8692
25.35,26.4845
25.65,26.205
25.95,26.0207
26.25,25.2949
26.55,25.107
26.85,24.8806
27.15,24.6413
27.45,24.3298
27.75,23.6166
28.05,23.5782
28.35,23.304
28.65,22.8468
28.95,22.5941
29.25,22.0978
29.55,21.8053
29.85,21.8169
