 ,dose_percent
-14.85,0.436804
-14.55,0.551456
-14.25,0.56152
-13.95,0.659395
-13.65,0.651203
-13.35,0.703966
-13.05,0.944673
-12.75,0.875446
-12.45,0.903851
-12.15,0.964427
-11.85,0.969111
-11.55,1.06877
-11.25,1.12042
-10.95,1.35549
-10.65,1.45318
-10.35,1.44486
-10.05,1.31843
-9.75,1.78134
-9.45,2.0622
-9.15,1.90631
-8.85,2.11698
-8.55,2.13024
-8.25,2.58526
-7.95,2.68215
-7.65,3.37593
-7.35,3.64558
-7.05,4.08187
-6.75,4.13251
-6.45,5.30189
-6.15,5.41561
-5.85,6.47952
-5.55,7.7638
-5.25,8.60817
-4.95,62.6176
-4.65,88.7675
-4.35,90.1088
-4.05,94.4212
-3.75,94.2469
-3.45,94.3495
-3.15,91.7366
-2.85,92.6645
-2.55,94.7679
-2.25,93.0669
-1.95,95.5853
-1.65,93.9004
-1.35,98.4831
-1.05,96.3598
-0.75,96.4509
-0.45,93.3934
-0.15,92.0346
0.15,94.9525
0.45,97.1233
0.75,98.6723
1.05,95.5679
1.35,96.9057
1.65,98.0509
1.95,97.5821
2.25,99.0649
2.55,94.952
2.85,95.2494
3.15,100
3.45,92.9172
3.75,91.4135
4.05,92.7187
4.35,90.9704
4.65,89.5809
4.95,64.8908
5.25,9.41412
5.55,7.94701
5.85,6.68318
6.15,5.9596
6.45,4.68339
6.75,4.95249
7.05,4.03215
7.35,3.8763
7.65,3.85728
7.95,3.12717
8.25,2.58239
8.55,2.75764
8.85,2.1358
9.15,2.34908
9.45,2.09704
9.75,2.06637
10.05,1.63804
10.35,1.49444
10.65,1.33767
10.95,1.38697
11.25,1.1299
11.55,1.09727
11.85,1.07937
12.15,1.0054
12.45,0.93264
12.75,0.891788
13.05,0.80285
13.35,0.721227
13.65,0.679697
13.95,0.64608
14.25,0.514787
14.55,0.529967
14.85,0.57904
