 ,dose_percent
-14.85,0
-14.55,0
-14.25,0
-13.95,0
-13.65,0
-13.35,0
-13.05,0
-12.75,0
-12.45,0
-12.15,0
-11.85,0
-11.55,0
-11.25,0
-10.95,0
-10.65,0
-10.35,0
-10.05,0
-9.75,0
-9.45,0
-9.15,0
-8.85,0
-8.55,0
-8.25,0
-7.95,0
-7.65,0
-7.35,0
-7.05,0
-6.75,0
-6.45,0
-6.15,0
-5.85,0
-5.55,0
-5.25,0
-4.95,60.6882
-4.65,97.4087
-4.35,92.5005
-4.05,90.1595
-3.75,97.9747
-3.45,91.8687
-3.15,94.5369
-2.85,92.5399
-2.55,94.1401
-2.25,94.1145
-1.95,91.994
-1.65,98.9954
-1.35,92.0766
-1.05,97.9339
-0.75,97.3946
-0.45,95.8048
-0.15,93.3585
0.15,94.569
0.45,94.9521
0.75,90.7076
1.05,97.0337
1.35,100
1.65,94.1694
1.95,97.8954
2.25,98.1587
2.55,95.6344
2.85,97.2515
3.15,96.3203
3.45,96.0285
3.75,96.9529
4.05,96.5362
4.35,93.0666
4.65,91.4059
4.95,64.7213
5.25,0
5.55,0
5.85,0
6.15,0
6.45,0
6.75,0
7.05,0
7.35,0
7.65,0
7.95,0
8.25,0
8.55,0
8.85,0
9.15,0
9.45,0
9.75,0
10.05,0
10.35,0
10.65,0
10.95,0
11.25,0
11.55,0
11.85,0
12.15,0
12.45,0
12.75,0
13.05,0
13.35,0
13.65,0
13.95,0
14.25,0
14.55,0
14.85,0
