versione,gruppo,phantom,n_fotoni,tempo_medio_s,tempo_std_s,h2d_medio_ms,kernel_medio_ms,d2h_medio_ms,modalita,flop_per_fotone,byte_per_fotone,gflops,banda_gbs,milioni_fotoni_s,intensita_aritmetica,speedup_vs_seq,speedup_e2e_vs_seq,speedup_vs_par,speedup_e2e_vs_par,speedup_relativo,p_amdahl,s_max_amdahl,gustafson
CPU_PAR,BEERLAMBERT,0,100000,0.015191,,,,,"('BEERLAMBERT', '0')",50,56,0.329142,0.368639,6.582845,0.892857,0.936081,0.936081,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,0,500000,0.081462,,,,,"('BEERLAMBERT', '0')",50,56,0.306892,0.343719,6.137831,0.892857,1.101974,1.101974,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,0,1000000,0.111049,,,,,"('BEERLAMBERT', '0')",50,56,0.450252,0.504282,9.005034,0.892857,1.206630,1.206630,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,0,5000000,0.434312,,,,,"('BEERLAMBERT', '0')",50,56,0.575623,0.644698,11.512461,0.892857,1.271662,1.271662,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,0,10000000,0.837746,,,,,"('BEERLAMBERT', '0')",50,56,0.596840,0.668460,11.936792,0.892857,1.270538,1.270538,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,0,50000000,4.203281,,,,,"('BEERLAMBERT', '0')",50,56,0.594773,0.666146,11.895469,0.892857,1.396192,1.396192,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,1,100000,0.015532,,,,,"('BEERLAMBERT', '1')",50,56,0.321916,0.360546,6.438321,0.892857,0.724182,0.724182,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,1,500000,0.085649,,,,,"('BEERLAMBERT', '1')",50,56,0.291889,0.326916,5.837780,0.892857,1.146738,1.146738,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,1,1000000,0.088649,,,,,"('BEERLAMBERT', '1')",50,56,0.564022,0.631705,11.280443,0.892857,1.247346,1.247346,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,1,5000000,0.416063,,,,,"('BEERLAMBERT', '1')",50,56,0.600871,0.672975,12.017411,0.892857,1.337588,1.337588,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,1,10000000,0.872763,,,,,"('BEERLAMBERT', '1')",50,56,0.572893,0.641640,11.457864,0.892857,1.275791,1.275791,1.000000,1.000000,,,,
CPU_PAR,BEERLAMBERT,1,50000000,4.131128,,,,,"('BEERLAMBERT', '1')",50,56,0.605162,0.677781,12.103232,0.892857,1.323840,1.323840,1.000000,1.000000,,,,
CPU_PAR,COMPLETA,0,100000,0.794145,,,,,"('COMPLETA', '0')",1220,56,0.153624,0.007052,0.125922,21.785714,2.080759,2.080759,1.000000,1.000000,,,,
CPU_PAR,COMPLETA,0,500000,3.899445,,,,,"('COMPLETA', '0')",1220,56,0.156433,0.007181,0.128223,21.785714,1.352449,1.352449,1.000000,1.000000,,,,
CPU_PAR,COMPLETA,0,1000000,8.763509,,,,,"('COMPLETA', '0')",1220,56,0.139214,0.006390,0.114110,21.785714,1.281936,1.281936,1.000000,1.000000,,,,
CPU_PAR,COMPLETA,0,5000000,44.957233,,,,,"('COMPLETA', '0')",1220,56,0.135685,0.006228,0.111217,21.785714,1.245814,1.245814,1.000000,1.000000,,,,
CPU_PAR,COMPLETA,0,10000000,88.298966,,,,,"('COMPLETA', '0')",1220,56,0.138167,0.006342,0.113252,21.785714,1.261465,1.261465,1.000000,1.000000,,,,
